continent,location,population_density,median_age,aged_65_older,aged_70_older,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy
Asia,Afghanistan,54.422,18.6,2.581,1.337,597.029,9.59,,,37.746,0.5,64.83
Asia,Armenia,102.931,35.7,11.232,7.571,341.01,7.11,1.5,52.1,94.043,4.2,75.09
Asia,Armenia,102.931,35.7,11.232,7.571,341.01,7.11,1.5,52.1,94.043,4.2,75.09
Asia,Azerbaijan,119.309,32.4,6.018,3.871,559.812,7.11,0.3,42.5,83.241,4.7,73
Asia,Bahrain,1935.907,32.4,2.372,1.387,151.689,16.52,5.8,37.6,,2,77.29
Asia,Bangladesh,1265.036,27.5,5.098,3.262,298.003,8.38,1,44.7,34.808,0.8,72.59
Asia,Bhutan,21.188,28.6,4.885,2.977,217.066,9.75,,,79.807,1.7,71.78
Asia,Brunei,81.347,32.4,4.591,2.382,201.285,12.79,2,30.9,,2.7,75.86
Asia,Cambodia,90.672,25.6,4.412,2.385,270.892,4,2,33.7,66.229,0.8,69.82
Asia,China,147.674,38.7,10.641,5.929,261.899,9.74,1.9,48.4,,4.34,76.91
Asia,Georgia,65.032,38.7,14.864,10.244,496.218,7.11,5.3,55.5,,2.6,73.77
Asia,Hong Kong,7039.714,44.8,16.303,10.158,,8.33,,,,,84.86
Asia,India,450.419,28.2,5.989,3.414,282.28,10.39,1.9,20.6,59.55,0.53,69.66
Asia,Indonesia,145.725,29.3,5.319,3.053,342.864,6.32,2.8,76.1,64.204,1.04,71.72
Asia,Iran,49.831,32.4,5.44,3.182,270.308,9.59,0.8,21.1,,1.5,76.68
Asia,Iraq,88.125,20,3.186,1.957,218.612,8.83,,,94.576,1.4,70.6
Asia,Israel,402.606,30.6,11.733,7.359,93.32,6.74,15.4,35.4,,2.99,82.97
Asia,Japan,347.778,48.2,27.049,18.493,79.37,5.72,11.2,33.7,,13.05,84.63
Asia,Jordan,109.285,23.2,3.81,2.361,208.257,11.75,,,,1.4,74.53
Asia,Kazakhstan,6.681,30.6,6.991,4.625,466.792,7.11,7,43.1,98.999,6.7,73.6
Asia,Kuwait,232.128,33.7,2.345,1.114,132.235,15.84,2.7,37,,2,75.49
Asia,Kyrgyzstan,32.333,26.3,4.489,2.882,436.362,7.11,3.6,50.5,89.22,4.5,71.45
Asia,Laos,29.715,24.4,4.029,2.322,368.111,4,7.3,51.2,49.839,1.5,67.92
Asia,Lebanon,594.561,31.1,8.514,5.43,266.591,12.71,26.9,40.7,,2.9,78.93
Asia,Malaysia,96.254,29.9,6.293,3.407,260.942,16.74,1,42.4,,1.9,76.16
Asia,Maldives,1454.433,30.6,4.12,2.875,164.905,9.19,2.1,55,95.803,,78.92
Asia,Mongolia,1.98,28.6,4.031,2.421,460.043,4.82,5.5,46.5,71.18,7,69.87
Asia,Myanmar,81.721,29.1,5.732,3.12,202.104,4.61,6.3,35.2,79.287,0.9,67.13
Asia,Nepal,204.43,25,5.809,3.212,260.797,7.26,9.5,37.8,47.782,0.3,70.78
Asia,Oman,14.98,30.7,2.355,1.53,266.342,12.61,0.5,15.6,97.4,1.6,77.86
Asia,Pakistan,255.573,23.5,4.495,2.78,423.031,8.35,2.8,36.7,59.607,0.6,67.27
Asia,Palestine,778.202,20.4,3.043,1.726,265.91,10.59,,,,,74.05
Asia,Philippines,351.873,25.2,4.803,2.661,370.437,7.07,7.8,40.8,78.463,1,71.23
Asia,Qatar,227.322,31.9,1.307,0.617,176.69,16.52,0.8,26.9,,1.2,80.23
Asia,Saudi Arabia,15.322,31.9,3.295,1.845,259.538,17.72,1.8,25.4,,2.7,75.13
Asia,Singapore,7915.731,42.4,12.922,7.049,92.243,10.99,5.2,28.3,,2.4,83.62
Asia,South Korea,527.967,43.4,13.914,8.622,85.998,6.8,6.2,40.9,,12.27,83.03
Asia,Sri Lanka,341.955,34.1,10.069,5.331,197.093,10.68,0.3,27,,3.6,76.98
Asia,Syria,,21.7,,2.577,376.264,,,,70.598,1.5,72.7
Asia,Taiwan,,42.2,,8.353,103.957,,,,,,80.46
Asia,Tajikistan,64.281,23.3,3.466,2.155,427.698,7.11,,,72.704,4.8,71.1
Asia,Thailand,135.132,40.1,11.373,6.89,109.861,7.04,1.9,38.8,90.67,2.1,77.15
Asia,Timor,87.176,18,3.556,1.897,335.346,6.86,6.3,78.1,28.178,5.9,69.5
Asia,Turkey,104.914,31.6,8.153,5.061,171.285,12.13,14.1,41.1,,2.81,77.69
Asia,United Arab Emirates,112.442,34,1.144,0.526,317.84,17.26,1.2,37.4,,1.2,77.97
Asia,Uzbekistan,76.134,28.2,4.469,2.873,724.417,7.57,1.3,24.7,,4,71.72
Asia,Vietnam,308.127,32.6,7.15,4.718,245.465,6,1,45.9,85.847,2.6,75.4
Asia,Yemen,53.508,20.3,2.922,1.583,495.003,5.35,7.6,29.2,49.542,0.7,66.12
